"Članica";"Kratica";"Program";"Členitev";"Način";"Stopnja";"Letnik";"Spol";"Državljanstvo";"UTEZ"
"Biotehniška fakulteta";"UL BF";"Hortikultura";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Agronomija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Molekulska in funkcionalna biologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - zootehnika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Splošna biotehnologija";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Prehrana";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo in prehrana";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Znanost o živalih";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo in upravljanje gozdnih ekosistemov";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Ekonomija";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"BANGLADEŠ";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Oskrbovalne verige in logistika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"UKRAJINA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Podjetništvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"BOSNA IN HERCEGOVINA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Podatkovna analitika";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Družba ter uporabna družboslovna informatika";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Azijske študije";"Sinologija - enopredmetna smer";"IZREDNI";"druga stopnja";"Absolventi";"Ž";"RUSKA FEDERACIJA";1
"Filozofska fakulteta";"UL FF";"Arheologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Nemščina - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Pedagogika";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Avtomatika";"REDNI";"prva stopnja";"Absolventi";"M";"BOLGARIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Kemija";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Mednarodno poslovanje";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Management";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovodenje in organizacija";"Ni členitve";"IZREDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovodenje in organizacija";"Ni členitve";"IZREDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Laboratorijska biomedicina";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Industrijska farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Industrijska farmacija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za farmacijo";"UL FFA";"Laboratorijska biomedicina";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za matematiko in fiziko";"UL FMF";"Matematika in fizika";"Matematika (smer)";"IZREDNI";"tretja stopnja";"Absolventi";"M";"ČRNA GORA";1
"Akademija za glasbo";"UL AG";"Glasbena pedagogika";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Akademija za glasbo";"UL AG";"Glasbena umetnost";"Harmonika";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Akademija za glasbo";"UL AG";"Glasbena umetnost";"Violina";"REDNI";"prva stopnja";"Drugi";"Ž";"SRBIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za upravo";"UL FU";"Uprava - Upravljanje javnega sektorja";"Javna uprava";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za upravo";"UL FU";"Uprava";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za upravo";"UL FU";"Uprava - Upravljanje javnega sektorja";"Upravljanje";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za upravo";"UL FU";"Uprava";"Poslovna uprava";"REDNI";"prva stopnja";"Tretji";"Ž";"BOSNA IN HERCEGOVINA";1
"Fakulteta za upravo";"UL FU";"Uprava - Upravljanje javnega sektorja";"Upravljanje";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Prometna tehnologija in transportna logistika";"Splošna smer";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Prometna tehnologija in transportna logistika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Promet";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Prometna tehnologija in transportna logistika";"Splošna smer";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za pomorstvo in promet";"UL FPP";"Tehnologija prometa";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - zootehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Lesarsko inženirstvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Lesarsko inženirstvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Kinezioterapija";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Proizvodno strojništvo";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Snovanje, obratovanje in vzdrževanje ";"REDNI";"prva stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Multimedija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Multimedija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Biokemija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemijsko inženirstvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemijska tehnologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemijska tehnologija";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za matematiko in fiziko";"UL FMF";"Matematika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za matematiko in fiziko";"UL FMF";"Fizika";"Fizika";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za matematiko in fiziko";"UL FMF";"Fizika";"Fizika";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Akademija za glasbo";"UL AG";"Instrumentalna in pevska pedagogika";"Klavir";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Akademija za glasbo";"UL AG";"Glasbena umetnost";"Klavir";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Akademija za glasbo";"UL AG";"Glasbena umetnost";"Klarinet";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Operativno gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Operativno gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za gradbeništvo in geodezijo";"UL FGG";"Gradbeništvo";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za šport";"UL FŠ";"Kineziologija";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za kemijo in kemijsko tehnologijo";"UL FKKT";"Kemija";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"BOSNA IN HERCEGOVINA";1
"Fakulteta za upravo";"UL FU";"Uprava";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in matematika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in informatika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za računalništvo in informatiko";"UL FRI";"Računalništvo in matematika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za elektrotehniko";"UL FE";"Aplikativna elektrotehnika";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Konstruiranje in mehanika";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - projektno aplikativni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Fakulteta za strojništvo";"UL FS";"Strojništvo - razvojno raziskovalni program";"Ni členitve";"REDNI";"prva stopnja";"Prvi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Hortikultura";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Agronomija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Molekulska in funkcionalna biologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Živilstvo in prehrana";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Lesarstvo";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Kmetijstvo - zootehnika";"Ni členitve";"REDNI";"prva stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Hortikultura";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Mikrobiologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Gozdarstvo";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"M";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Znanost o živalih";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Biotehnologija";"Splošna biotehnologija";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Biotehniška fakulteta";"UL BF";"Ekologija in biodiverziteta";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Mednarodno poslovanje";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"INDIJA";1
"Ekonomska fakulteta";"UL EF";"Visoka poslovna šola";"Ni členitve";"IZREDNI";"prva stopnja";"Prvi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovna informatika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovna informatika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"BOSNA IN HERCEGOVINA";1
"Ekonomska fakulteta";"UL EF";"Ekonomija";"Ni členitve";"REDNI";"druga stopnja";"Prvi";"M";"INDIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovna informatika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovna informatika";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Management";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Tržno komuniciranje in odnosi z javnostmi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"REPUBLIKA SEVERNA MAKEDONIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Načrtovanje digitalnih storitev";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Digitalne tehnologije in družba";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Družboslovna informatika";"Načrtovanje digitalnih storitev";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Medijske in komunikacijske študije";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Evropske študije";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Novinarstvo";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Mednarodni odnosi";"Ni členitve";"REDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Sociologija - kadrovski menedžment";"7002991";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Fakulteta za družbene vede";"UL FDV";"Komunikologija - Tržno komuniciranje in odnosi z javnostmi";"Ni členitve";"REDNI";"prva stopnja";"Tretji";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Enopredmetna smer: Okoljska in fizična geografija - Uporabna geoinformatika";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Prevajanje";"Slovenščina-angleščina-francoščina – enopredmetna smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Anglistika";"Anglistika - enopredmetna smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Geografija";"Enopredmetna smer: Regionalno planiranje in urbano-ruralne študije - Geografija turizma";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Germanistika";"Nemščina - enopredmetna pedagoška smer";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"prva stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Psihologija";"Ni členitve";"REDNI";"druga stopnja";"Absolventi";"Ž";"SLOVENIJA";1
"Filozofska fakulteta";"UL FF";"Bibliotekarstvo, informacijski in založniški študiji";"Bibliotekarstvo (usmeritev)";"REDNI";"druga stopnja";"Drugi";"Ž";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Univerzitetna poslovna in ekonomska šola";"Mednarodna ekonomija";"REDNI";"prva stopnja";"Tretji";"M";"SLOVENIJA";1
"Ekonomska fakulteta";"UL EF";"Poslovodenje in organizacija";"Ni členitve";"IZREDNI";"druga stopnja";"Drugi";"M";"SLOVENIJA";1
